"features" "activities" "subjects" "mean"
"TimeOfBodyAcc-mean-Y" "WALKING" 2 -0.416420578870861
"TimeOfBodyAcc-mean-Y" "WALKING" 4 -0.537904614960825
"TimeOfBodyAcc-mean-Y" "WALKING_UPSTAIRS" 4 -0.335708912481301
"TimeOfBodyAcc-mean-Y" "WALKING_UPSTAIRS" 9 -0.413249741433993
"TimeOfBodyAcc-mean-Y" "WALKING_UPSTAIRS" 10 -0.914583284
"TimeOfBodyAcc-mean-Y" "WALKING_DOWNSTAIRS" 10 -0.250584618267094
"TimeOfBodyAcc-mean-Y" "WALKING_DOWNSTAIRS" 12 -0.472831514948495
"TimeOfBodyAcc-mean-Y" "SITTING" 12 -0.322977092126866
"TimeOfBodyAcc-mean-Y" "SITTING" 13 -0.494129249577982
"TimeOfBodyAcc-mean-Y" "SITTING" 18 -0.932436737333333
"TimeOfBodyAcc-mean-Y" "STANDING" 18 -0.493160618350808
"TimeOfBodyAcc-mean-Y" "STANDING" 20 -0.526966214504546
"TimeOfBodyAcc-mean-Y" "LAYING" 20 -0.396517082508333
"TimeOfBodyAcc-mean-Y" "LAYING" 24 -0.540884458170079
"TimeOfBodyAcc-mean-Z" "WALKING" 2 -0.586873682530795
"TimeOfBodyAcc-mean-Z" "WALKING" 4 -0.703124252893299
"TimeOfBodyAcc-mean-Z" "WALKING_UPSTAIRS" 4 -0.492592631171545
"TimeOfBodyAcc-mean-Z" "WALKING_UPSTAIRS" 9 -0.546324205307404
"TimeOfBodyAcc-mean-Z" "WALKING_UPSTAIRS" 10 -0.982336730666667
"TimeOfBodyAcc-mean-Z" "WALKING_DOWNSTAIRS" 10 -0.388111604382479
"TimeOfBodyAcc-mean-Z" "WALKING_DOWNSTAIRS" 12 -0.670947430665591
"TimeOfBodyAcc-mean-Z" "SITTING" 12 -0.503298141158209
"TimeOfBodyAcc-mean-Z" "SITTING" 13 -0.609080021451682
"TimeOfBodyAcc-mean-Z" "SITTING" 18 -0.990434026
"TimeOfBodyAcc-mean-Z" "STANDING" 18 -0.718665790389222
